fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,_ordinance_amount_
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0005,Salaries and Wages - on Payroll,11370347
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0039,For the Employment of Students as Trainees,249060
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0126,Office Conveniences,1600
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0130,Postage,5500
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,20000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0149,For Software Maintenance and Licensing,2500
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0150,Publications and Reproduction - Outside Services.  To Be Expended with the Prior Approval of Graphics Services,1600
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0157,Rental of Equipment and Services,46000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0159,Lease Purchase Agreements for Equipment and Machinery,52000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0162,Repair/Maintenance of Equipment,6984
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0166,"Dues, Subscriptions and Memberships",248023
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0169,Technical Meeting Costs,6000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0229,Transportation and Expense Allowance,1000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0245,Reimbursement to Travelers,100000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0270,Local Transportation,3000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0350,Stationery and Office Supplies,30000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,9121,For Payment of Costs Associated with Lobbyist Activities on Behalf of the City of Chicago,200000
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,1,Office of the Mayor,2005,Office of the Mayor,0005,Salaries and Wages - on Payroll,417673
LOCAL,0B70,Cannabis Regulation Tax,1,Office of the Mayor,2005,Office of the Mayor,0005,Salaries and Wages - on Payroll,428424
LOCAL,0B70,Cannabis Regulation Tax,1,Office of the Mayor,2005,Office of the Mayor,0135,For Delegate Agencies,4674488
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,Salaries and Wages - on Payroll,8138933
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,Schedule Salary Adjustments,157957
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0020,Overtime,3000
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,Postage,2083
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0138,For Professional Services for Information Technology Maintenance,121349
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,348253
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,Court Reporting,52500
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,For Software Maintenance and Licensing,928276
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0150,Publications and Reproduction - Outside Services.  To Be Expended with the Prior Approval of Graphics Services,6000
