fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,_ordinance_amount_
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0005,Salaries and Wages - on Payroll,10692655
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0039,For the Employment of Students as Trainees,260000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0126,Office Conveniences,3200
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0130,Postage,1600
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,16000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0149,For Software Maintenance and Licensing,3400
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0157,Rental of Equipment and Services,1000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0159,Lease Purchase Agreements for Equipment and Machinery,31000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0162,Repair/Maintenance of Equipment,1500
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0166,"Dues, Subscriptions and Memberships",248023
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0169,Technical Meeting Costs,6000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0245,Reimbursement to Travelers,48000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,0350,Stationery and Office Supplies,10000
LOCAL,0100,Corporate Fund,1,Office of the Mayor,2005,Office of the Mayor,9121,For Payment of Costs Associated with Lobbyist Activities on Behalf of the City of Chicago,200000
LOCAL,0355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,1,Office of the Mayor,2005,Office of the Mayor,0005,Salaries and Wages - on Payroll,457161
LOCAL,0B21,Tax Increment Financing Administration Fund,1,Office of the Mayor,2005,Office of the Mayor,0005,Salaries and Wages - on Payroll,121266
LOCAL,0B70,Cannabis Regulation Tax,1,Office of the Mayor,2005,Office of the Mayor,0005,Salaries and Wages - on Payroll,387849
LOCAL,0B70,Cannabis Regulation Tax,1,Office of the Mayor,2005,Office of the Mayor,9102,Special Programs Costs,3800000
LOCAL,0B70,Cannabis Regulation Tax,1,Office of the Mayor,2005,Office of the Mayor,929B,Restoration Committee,500000
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0005,Salaries and Wages - on Payroll,8289658
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0015,Schedule Salary Adjustments,187555
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0020,Overtime,1500
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0130,Postage,1635
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0138,For Professional Services for Information Technology Maintenance,15296
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0140,For Professional and Technical Services and Other Third Party Benefit Agreements,339348
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0143,Court Reporting,52500
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0149,For Software Maintenance and Licensing,600406
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0150,Publications and Reproduction - Outside Services.  To be Expended with the Prior Approval of Graphics Services,4750
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0152,Advertising,5000
LOCAL,0100,Corporate Fund,3,Office of Inspector General,2005,Office of Inspector General,0157,Rental of Equipment and Services,63125
